endTime,artistName,trackName,msPlayed
2020-12-13 21:53,Formal Chicken,I'll Keep You Safe,126054
2020-12-13 21:55,Lofi Fruits Music,Cheesed off,118453
2020-12-13 21:57,Lofi Fruits Music,Villagers,126000
2020-12-13 22:00,Lofi Fruits Music,Salty,179266
2020-12-13 22:02,Lofi Fruits Music,Ultimatum,110041
2020-12-13 22:05,Lofi Fruits Music,Night Out,175060
2020-12-13 22:06,Formal Chicken,Young and Beautiful,82561
2020-12-13 22:08,Lofi Fruits Music,"Dreams Are Alright, I Guess",117042
2020-12-13 22:10,Tempura,3005,96040
2020-12-13 22:12,Lofi Fruits Music,Fish Fish,111792
2020-12-13 22:13,Avocuddle,24K Magic,100063
2020-12-13 22:15,Kuku,Megalovania,86557
2020-12-13 22:17,Avocuddle,Sex for Breakfast,134048
2020-12-13 22:19,Lofi Fruits Music,Black Bird,120046
2020-12-13 22:21,Avocuddle,Down By The River,111556
2020-12-13 22:23,Lofi Fruits Music,Chance,121457
2020-12-13 22:26,Lofi Fruits Music,Sunset,169500
2020-12-13 22:27,Lofi Fruits Music,Bella Ciao,96040
2020-12-13 22:30,Lofi Fruits Music,As if I would,135589
2020-12-13 22:31,Lofi Fruits Music,Let it Go,106541
2020-12-13 22:34,Lofi Fruits Music,Pokémon Theme Song,128562
2020-12-13 22:35,Lofi Fruits Music,Asgore,109310
2020-12-13 22:37,Fets,I'll Come Back to You,113045
2020-12-13 22:40,Formal Chicken,Pink Sky,142564
2020-12-13 22:42,Lofi Fruits Music,Yesterday,115814
2020-12-13 22:44,Lofi Fruits Music,No More Expectations,131671
2020-12-13 22:46,Lofi Fruits Music,The Cave,121000
2020-12-13 22:48,Lofi Fruits Music,A Sky Full of Stars,137810
2020-12-13 22:50,Lofi Fruits Music,The Scotts,90632
2020-12-13 22:52,Lofi Fruits Music,Kids,143060
2020-12-13 22:53,Lofi Fruits Music,Warned,49805
2020-12-14 02:54,Lofi Fruits Music,Warned,55256
2020-12-14 02:56,Zambonini,Makeshift,121333
2020-12-14 02:58,Lofi Fruits Music,Chandelier,100167
2020-12-14 03:00,Lofi Fruits Music,extracurricular activities,116050
2020-12-14 03:02,Fets,Pursuit Of Happiness,100063
2020-12-14 03:04,Lofi Fruits Music,Autumn Leaves,154711
2020-12-14 03:06,Lofi Fruits Music,Make this one count,133290
2020-12-14 03:09,Zambonini,Mountains Of Joy,144053
2020-12-14 03:11,Lofi Fruits Music,Flies On Fire,119054
2020-12-14 03:13,Jazz Fruits Music,"You're Mine, You!",125062
2020-12-14 19:40,Lofi Fruits Music,When We Were Young,29727
2020-12-14 19:42,Nas,Spicy (feat. Fivio Foreign & A$AP Ferg),166523
2020-12-14 20:17,Curren$y,The Count (feat. Wiz Khalifa),62090
2020-12-14 20:20,Nas,Spicy (feat. Fivio Foreign & A$AP Ferg),166523
2020-12-14 20:23,Nas,Replace Me (feat. Big Sean & Don Toliver),170813
2020-12-15 02:18,Busta Rhymes,Look Over Your Shoulder (feat. Kendrick Lamar),64332
2020-12-15 02:19,Juice WRLD,Lean Wit Me,1514
2020-12-15 02:22,Lil Baby,Errbody,210698
2020-12-15 02:24,Juice WRLD,Man Of The Year,136408
2020-12-15 02:27,NLE Choppa,BLOCC IS HOT,188233
2020-12-15 02:32,Future,I Don’t Wanna Break Up,243936
2020-12-15 02:34,Mustard,"Baguettes in the Face (feat. NAV, Playboi Carti & A Boogie Wit da Hoodie)",174100
2020-12-15 02:38,Lil Uzi Vert,Prices,233333
2020-12-15 02:41,Future,Fine China,141586
2020-12-15 02:47,Travis Scott,Oh My Dis Side (feat. Quavo),351253
2020-12-15 02:50,Juice WRLD,Flaws And Sins,218348
2020-12-15 02:54,Tyga,Goddamn (feat. A Boogie wit da Hoodie),211039
2020-12-15 02:55,Lil Yachty,Yacht Club (feat. Juice WRLD),61410
2020-12-15 17:16,Jaden,On My Own,3018
2020-12-15 17:16,Denzel Curry,SPEEDBOAT,2113
2020-12-15 17:16,DaBaby,FIND MY WAY,998
2020-12-15 17:28,Lil Uzi Vert,Pretty Mami,187617
2020-12-15 19:01,Lil Baby,Errbody,210698
2020-12-15 19:03,21 Savage,Runnin,136204
2020-12-15 19:07,NLE Choppa,Clicc Clacc,1323
2020-12-15 19:07,Lil Mosey,Stuck In A Dream (feat. Gunna),1996
2020-12-15 19:07,21 Savage,Rap Saved Me (feat. Quavo),209838
2020-12-15 19:07,Gucci Mane,Big Booty (feat. Megan Thee Stallion),1671
2020-12-15 19:09,JACKBOYS,OUT WEST (feat. Young Thug),157712
2020-12-15 19:12,Juice WRLD,Maze,144090
